target,replacement
yg,yang
mentri,menteri
trus,terus
udah,sudah
karna,karena
ngaku,mengaku
jua,jual
maki,memaki
ya,iya
tdk,tidak
mandeg,berhenti
sapa,siapa
ama,sama
gak,tidak
dah,sudah
gede,banyak
jd,jadi
klu,kalau
klo,kalau
emg,memang
tak,tidak
jgn,jangan
kyk,kayak
dpt,dapat
spy,supaya
kalo,kalau
sob,sobat
tp,tapi
sdh,sudah
udh,sudah
lu,kamu
gk,tidak
nggk,tidak
pda,pada
slama,selama
aadalah,adalah
dgn,dengan
bgt,banget
lg,lagi
ad,ada
tu,itu
ap,apa
gua,aku
dr,dari
sampe,sampai
blg,bilang
abs,setelah
krn,karena
ade,ada
lom,belom
uda,sudah
naek,naik
naikin,naik
bilanh,bilang
ga,tidak
tuh,itu
pdhl,padahal
aj,saja
aje,saja
khan,kan
ktx,katanya
nggak,tidak
ngga,tidak
nich,nih
ae,saja
megang,memegang
donk,dong
aing,aku
nat,tidak
apalg,apalagi
jg,juga
sehrsnya,seharusnya
kpd,kepada
hrs,harus
utk,untuk
min,admin
gini,begini
lo,kamu
gw,aku
mo,mau
bpk,bapak
td,tadi
gg,bagus
org,orang
emng,emang
ning,di
ki,ini
wes,sudah
amp,sampai
png,ingin
mim,meme
elu,kamu
iki,ini
buset,parah
walac,owalah
kek,seperti
kemarenan,kemarin
hrg,harga
lggs,langsung
rebu,ribu
rebuan,ribuan
gegara,karena
knp,kenapa
kmrin²,kemarin
bnran,beneran
alqur,alquran
koq,kok
bnr,benar
ni,ini
belom,belum
bwt,untuk
udhlah,udahlah
maling²,maling
bgst,bangsat
bangsaaaat,bangsat
bangsatin,bangsat
bangsatnya,bangsat
dg,dengan
lbh,lebih
ku,aku
spt,seperti
fiks,benaran
fix,benaran
kudu,harus
dirut,direktur utama
sy,aku
kon,kamu
cpt,cepat
rb,ribu
lngsng,langsung
sya,aku
boro²,jangankan
siapa²,siapa
bs,bisa
plecidennya,presidennya
grgr,karena
teriak²,teriak
anying,anjing
thn²,tahun
𝙏𝙀𝙍𝘽𝘼𝙄𝙆,terbaik
𝙏𝙚𝙧𝙗𝙖𝙣𝙜,terbang
uanjenk,anjing
ubah²,ubah
cmn,hanya
nt,kamu
sj,saja
hnya,hanya
costnya,harganya
brp,berapa
kl,kalau
lebij,lebih
byk,banyak
elakangan,belakangan
ngemeng,ngomong
epe,apa
anjir,anjing
ndk,tidak
oon,bodoh
nyampek,sampek
gblg,bodoh
lgsg,langsung
thn,tahun
kuatir,khawatir
kawatir,khawatir
bbk,bbm
sm,sama
tkt,takut
tsb,tersebut
only,hanya
elo,kamu
hrsnya,harusnya
smp,sampai
bbrp,beberapa
aja,saja
monopoi,aneh
shg,sehingga
mengimport,mengimpor
ny,nya
dmn,dimana
jdi,jadi
prik,aneh
dikalkulasiin,diperhitungkan
mngkn,mungkin
ngisi,mengisi
gpp,gapapa
jualny,jualnya
nyampe,sampai
sebenernya,sebenarnya
drpd,daripada
iye,iya
plis,tolong
sbg,sebagai
mlh,malah
maringene,setelah
digawe,dibuat
hrgnya,harganya
viralkeun,viralkan
suru,suruh
bosss,bos
kebijakamu,kebijakannya
berinivetasi,berinvestasi
sperti,seperti
ws,sudah
²,dua
nayingi,menyaingi
ngancem,mengancam
pants,pantas
aseng,asing
tmpt,tempat
mkanya,rupanya
udu,bukan
wae,saja
report,laporan
kenerja,kinerja
sept,seperti
kuran,kurang
pernh,pernah
ush,usah
mboten,bukan
sare,tidur
paringana,berikan
ngelolanya,mengelolanya
bengi,malam
turumu,tidurmu
kao,kamu
kaya²,kaya
pemrintah,pemerintah
susyeh,susah
kwatir,khawatir
untug,untung
bpak,bapak
krja,kerja
dbwh,dibawah
mnjajah,menjajah
indonesi,indonesia
klao,kalau
begok,bodoh
munggah,naik
komisars,komisaris
cwritanya,ceritanya
keq,seperti
smpainya,sampainya
pnjang,panjang
kecoak,kecoa
peryamina,pertamina
sayaa,aku
sekalain,sekalian
ttp,tetap
skrg,sekarang
smart,pintar
think,pikir
one,satu
like,seperti
ngak,tidak
nerapa,berapa
no,tidak
test,uji
bisaberani,berani
gedeeee,besar
sepenuh,sepenuhnya
ongnya,bohongnya
choice,pilih
other,lain
side,sisi
perarturan,peraturan
asbacot,bacot
pengen,ingin
misuh,mengumpat
kecyduk,ketangkap
bgsnya,bagusnya
dkt,dekat
hrga,harga
gara,karena
ngutang,hutang
gue,aku
kau,kamu
narok,menaruh
emak,ibu
trend,tren
sodara,saudara
semalem,semalam
shock,terkejut
supply,stok
demand,permintaan
indonésia,indonesia
dapet,dapat
tetep,tetap
apasitas,kapasitas
years,tahunan
working,bekerja
office,kantor
look,lihat
people,orang
warning,peringatan
meaning,berarti
overall,semuanya
guess,tebak
emang,memang
melarat,miskin
yup,iya
ngasi,sampai
bener,benar
negonya,nego
skrng,sekarang
pjbt,pejabat
ngerti,paham
blm,belum
sgt,segitu
dibokisin,ditipu
sopir,supir
ngomong,berbicara
ato,atau
jt,juta
bln,bulan
parte,partai
itungan,hitungan
engga,tidak
setara,sebandin
ampe,sampai
ruwetnesia,rumit
nguasai,berkuasa
nimbulin,berdampak
ngejar,mengejar
mngkn,mungkin
ksananya,kesananya
dibndgkn,dibandingkan
jualny,jualnya
nyampe,sampai
ngisi,mengisi
urges,mendesak
maintain,kelola
doang,saja
aamiin,amin
aanjenggg,anjing
abiss,habis
abisss,habis
abistu,setelahnya
about,tentang
acakadut,berantakan
accord,sesuai
accordo,sesuai
accepts,menerima
actually,sebenarnya
act,aksi
adaaa,ada
adane,adanya
adany,adanya
additional,tambahan
address,alamat
adem,tenang
aditif,adiktif
adjust,sesuai
adjusted,sesuai
adjustments,menyesuaikan
adl,adalah
adlh,adalah
aduuuh,aduh
advice,saran
aekalian,sekalian
aer,air
aesthetic,estetik
affect,berdampak
affiliate,bergabung
after,setelah
ahh,ah
ahhhh,ah
ahoax,ahok
ahog,ahok
ahokees,ahok
ahokers,ahok
ahokk,ahok
ahoknya,ahok
ahokpun,ahok
ahox,ahok
ahrus,ahok
ahuk,ahok
ahy,ahok
airboom,air
airlines,pesawat
aisia,asia
ajaa,saja
ajaaaa,saja
ajaaah,saja
ajadah,saja
ajagasi,saja
ajah,saja
ajg,anjing
ajggg,anjing
ajgedn,anjing
ajing,anjing
ajee,saja
ajh,saja
ajo,saja
ajeee,saja
ajalah,saja
ajari,ajar
ajur,hancur
ajurrrr,hancur
ajuur,hancur
ajuuurr,hancur
akak,akal
akal²an,akal
akeh,banyak
akhli,ahli
akibtx,akibat
akiew,aku
akra,akrab
aktifis,aktivis
akuin,mengakui
akuni,akun
akunnya,akun
akuratnya,akurat
alasane,alasannya
alasanya,alasannya
𝘼𝙡𝙖𝙩,alat
alert,waspada
algorithm,algoritma
alhamdulilah,alhamdulillah
alhamdulillaah,alhamdulillah
alhamdulillah,alhamdulillah
alhasil,hasil
alhmdulillah,alhamdulillah
alihan,alihkan
all,semua
alloh,allah
allahuakbar,allah
alm,almarhum
alon,pelan
alot,keras
aloo,halo
already,sudah
also,juga
always,selalu
𝘼𝙢𝙖𝙣,aman
amang,aman
ambyaaarrrr,bubar
ambyaar,bubar
ambyaarr,bubar
ambyaarrr,bubar
ame,sama
amiiinnn,amin
amnesty,amnesti
ampai,sampai
ampir,hampir
ampooonn,ampun
ampuuuun,ampun
amsiong,pusing
amsyong,pusing
anakbuahnya,anak
ancooor,hancur
ancur,hancur
ancuran,hancur
ancuur,hancur
and,dan
ane,aku
andelan,andalan
angg,anggap
angk,angka
angtum,kamu
anj,anjing
anjay,anjing
anjeeeennkkk,anjing
anjeeerrr,anjing
anjeng,anjing
anjenk,anjing
anjer,anjing
anjg,anjing
anjggg,anjing
anjing,anjing
anjingg,anjing
anjinggg,anjing
anjingggg,anjing
anjink,anjing
anjirr,anjing
anjirrr,anjing
anjjj,anjing
anjrit,anjing
anyiing,anjing
anyingg,anjing
annoying,mengganggu
antre,antri
antrean,antrian
antreannya,antriannya
antum,kamu
apa²,apa
apaa,apa
apaaa,apa
apaah,apa
apah,apa
apain,apa
apakabar,apa
apakh,apa
apalah,apa
apanya,apa
apapu,apa
apeu,apa
ape,apa
apapun,apa
apasih,apa
apkah,apa
apkh,apa
aplg,apa
apar,aparat
apasitas,kapasitas
apartmen,apartemen
apdet,terbaru
apik,bagus
apli,aplikasi
aplikator,aplikasi
applikasi,aplikasi
app,aplikasi
apparently,tampaknya
appl,apple
apply,melamar
approval,persetujuan
approved,disetujui
apps,aplikasi
areas,area
arek,anak
arep,ingin
arogani,arogan
around,sekitar
arse,arsenal
artian,arti
artiny,arti
artinye,arti
article,artikel
asbacot,bacot
asek,asik
asekk,asik
asoy,asik
asyik,asik
asemboohhh,embuh
aseliii,asli
aslii,asli
asliii,asli
aslina,asli
asline,asli
aslinya,asli
ask,minta
asking,meminta
aspar,aspal
assalamu,assalamualaikum
assures,yakin
astagfirullah,astaghfirullah
asudahlah,anjing
asu,anjing
asuu,anjing
asuuu,anjing
asuuuuu,anjing
asyu,anjing
asuuuuuu,anjing
asw,anjing
atailu,tai
taik,tai
taekook,tai
taeklahhhh,tai
taekkkk,tai
taekkk,tai
taek,tai
𝘵𝘢𝘱𝘪,tapi
𝗧𝗮𝗻𝗴𝗴𝗮𝗹,tanggal
𝙏𝙖𝙣𝙜𝙖𝙣,tangan
tapie,tapi
taehyung,tai
taeekkkkk,tai
taeeeeekk,tai
taecyeon,tai
tae,tai
atao,atau
ato,atau
atw,atau
attitudenya,perilaku
auri,aura
ausit,audit
availability,persediaan
awak,aku
